Total itineraries 1659
Disrupted itineraries 1024
Total #flights 608
Total #airports 35
Preprocessing time 7.372222
MIP runtime 0.037367
MIP objective 9895848.900000
MIP number of zero variables 16387.000000 out of 17485
itin 8: OG pax count 10, sol cancelled  10
itin 9: OG pax count 6, sol cancelled  6
itin 13: OG pax count 1, sol cancelled  1
itin 14: OG pax count 2, sol cancelled  2
itin 16: OG pax count 1, sol cancelled  1
itin 17: OG pax count 2, sol cancelled  2
itin 18: OG pax count 8, sol cancelled  8
itin 19: OG pax count 6, sol cancelled  6
itin 20: OG pax count 13, sol cancelled  13
itin 21: OG pax count 3, sol cancelled  3
itin 22: OG pax count 19, sol cancelled  19
itin 23: OG pax count 2, sol cancelled  2
itin 24: OG pax count 13, sol cancelled  13
itin 25: OG pax count 5, sol cancelled  5
itin 26: OG pax count 26, sol cancelled  26
itin 27: OG pax count 4, sol cancelled  4
itin 28: OG pax count 14, sol cancelled  14
itin 29: OG pax count 4, sol cancelled  4
itin 30: OG pax count 18, sol cancelled  18
itin 31: OG pax count 2, sol cancelled  2
itin 35: OG pax count 3, sol cancelled  3
itin 37: OG pax count 2, sol cancelled  2
itin 41: OG pax count 12, sol cancelled  12
itin 43: OG pax count 5, sol cancelled  5
itin 48: OG pax count 12, sol cancelled  12
itin 50: OG pax count 6, sol cancelled  6
itin 51: OG pax count 25, sol cancelled  25
itin 52: OG pax count 20, sol cancelled  20
itin 53: OG pax count 43, sol cancelled  43
itin 54: OG pax count 6, sol cancelled  6
itin 56: OG pax count 30, sol cancelled  30
itin 57: OG pax count 22, sol cancelled  22
itin 62: OG pax count 38, sol cancelled  38
itin 63: OG pax count 17, sol cancelled  17
itin 64: OG pax count 66, sol cancelled  66
itin 65: OG pax count 12, sol cancelled  12
itin 66: OG pax count 19, sol cancelled  19
itin 67: OG pax count 7, sol cancelled  7
itin 74: OG pax count 12, sol cancelled  12
itin 76: OG pax count 6, sol cancelled  6
itin 77: OG pax count 40, sol cancelled  40
itin 78: OG pax count 26, sol cancelled  26
itin 98: OG pax count 2, sol cancelled  2
itin 100: OG pax count 4, sol cancelled  4
itin 102: OG pax count 1, sol cancelled  1
itin 104: OG pax count 2, sol cancelled  2
itin 105: OG pax count 5, sol cancelled  5
itin 106: OG pax count 2, sol cancelled  2
itin 107: OG pax count 10, sol cancelled  10
itin 108: OG pax count 4, sol cancelled  4
itin 109: OG pax count 2, sol cancelled  2
itin 110: OG pax count 1, sol cancelled  1
itin 111: OG pax count 4, sol cancelled  4
itin 112: OG pax count 2, sol cancelled  2
itin 113: OG pax count 5, sol cancelled  5
itin 114: OG pax count 9, sol cancelled  9
itin 115: OG pax count 3, sol cancelled  3
itin 116: OG pax count 5, sol cancelled  5
itin 125: OG pax count 5, sol cancelled  5
itin 126: OG pax count 13, sol cancelled  13
itin 127: OG pax count 3, sol cancelled  3
itin 128: OG pax count 7, sol cancelled  7
itin 140: OG pax count 71, sol cancelled  71
itin 141: OG pax count 10, sol cancelled  10
itin 142: OG pax count 25, sol cancelled  25
itin 143: OG pax count 9, sol cancelled  9
itin 144: OG pax count 47, sol cancelled  47
itin 145: OG pax count 24, sol cancelled  24
itin 147: OG pax count 5, sol cancelled  5
itin 149: OG pax count 3, sol cancelled  3
itin 153: OG pax count 3, sol cancelled  3
itin 155: OG pax count 1, sol cancelled  1
itin 157: OG pax count 2, sol cancelled  2
itin 159: OG pax count 2, sol cancelled  2
itin 160: OG pax count 4, sol cancelled  4
itin 161: OG pax count 1, sol cancelled  1
itin 162: OG pax count 2, sol cancelled  2
itin 163: OG pax count 1, sol cancelled  1
itin 164: OG pax count 7, sol cancelled  7
itin 165: OG pax count 3, sol cancelled  3
itin 166: OG pax count 4, sol cancelled  4
itin 167: OG pax count 1, sol cancelled  1
itin 169: OG pax count 6, sol cancelled  6
itin 171: OG pax count 4, sol cancelled  4
itin 172: OG pax count 24, sol cancelled  24
