Total itineraries 11214
Disrupted itineraries 9025
Total #flights 1422
Total #airports 44
Preprocessing time 39.878044
MIP runtime 0.125439
MIP objective 181721149.150000
MIP number of zero variables 41809.000000 out of 51113
itin 0: OG pax count 1, sol cancelled  1
itin 1: OG pax count 20, sol cancelled  20
itin 2: OG pax count 14, sol cancelled  14
itin 3: OG pax count 3, sol cancelled  3
itin 4: OG pax count 19, sol cancelled  19
itin 5: OG pax count 14, sol cancelled  14
itin 6: OG pax count 3, sol cancelled  3
itin 7: OG pax count 7, sol cancelled  7
itin 8: OG pax count 3, sol cancelled  3
itin 9: OG pax count 9, sol cancelled  9
itin 10: OG pax count 2, sol cancelled  2
itin 11: OG pax count 9, sol cancelled  9
itin 12: OG pax count 5, sol cancelled  5
itin 13: OG pax count 3, sol cancelled  3
itin 14: OG pax count 4, sol cancelled  4
itin 15: OG pax count 10, sol cancelled  10
itin 16: OG pax count 8, sol cancelled  8
itin 17: OG pax count 1, sol cancelled  1
itin 18: OG pax count 24, sol cancelled  24
itin 19: OG pax count 2, sol cancelled  2
itin 20: OG pax count 2, sol cancelled  2
itin 21: OG pax count 7, sol cancelled  7
itin 22: OG pax count 9, sol cancelled  9
itin 23: OG pax count 1, sol cancelled  1
itin 24: OG pax count 8, sol cancelled  8
itin 25: OG pax count 7, sol cancelled  7
itin 26: OG pax count 16, sol cancelled  16
itin 27: OG pax count 5, sol cancelled  5
itin 28: OG pax count 12, sol cancelled  12
itin 29: OG pax count 6, sol cancelled  6
itin 30: OG pax count 3, sol cancelled  3
itin 31: OG pax count 10, sol cancelled  10
itin 32: OG pax count 8, sol cancelled  8
itin 33: OG pax count 6, sol cancelled  6
itin 34: OG pax count 19, sol cancelled  19
itin 35: OG pax count 2, sol cancelled  2
itin 36: OG pax count 20, sol cancelled  20
itin 37: OG pax count 3, sol put 3 pax on flight 7282 in cabin E
itin 38: OG pax count 1, sol put 1 pax on flight 7242 in cabin B
itin 39: OG pax count 5, sol put 5 pax on flight 7242 in cabin E
itin 40: OG pax count 3, sol cancelled  3
itin 41: OG pax count 4, sol cancelled  4
itin 42: OG pax count 7, sol cancelled  7
itin 43: OG pax count 16, sol cancelled  16
itin 44: OG pax count 6, sol cancelled  6
itin 45: OG pax count 4, sol cancelled  4
itin 46: OG pax count 7, sol cancelled  7
itin 47: OG pax count 9, sol cancelled  9
itin 48: OG pax count 5, sol cancelled  5
