Total itineraries 28307
Disrupted itineraries 21876
Total #flights 2178
Total #airports 163
Preprocessing time 123.191604
MIP runtime 0.158004
MIP objective 1030880145.699999
MIP number of zero variables 33255.000000 out of 55519
itin 0: OG pax count 1, sol cancelled  1
itin 1: OG pax count 3, sol cancelled  3
itin 2: OG pax count 9, sol cancelled  9
itin 3: OG pax count 1, sol cancelled  1
itin 4: OG pax count 9, sol cancelled  9
itin 5: OG pax count 1, sol cancelled  1
itin 6: OG pax count 9, sol cancelled  9
itin 7: OG pax count 8, sol cancelled  8
itin 8: OG pax count 6, sol cancelled  6
itin 9: OG pax count 5, sol cancelled  5
itin 10: OG pax count 1, sol cancelled  1
itin 11: OG pax count 11, sol cancelled  11
itin 12: OG pax count 11, sol cancelled  11
itin 13: OG pax count 11, sol cancelled  11
itin 14: OG pax count 7, sol cancelled  7
itin 15: OG pax count 1, sol cancelled  1
itin 16: OG pax count 22, sol cancelled  22
itin 17: OG pax count 5, sol cancelled  5
itin 18: OG pax count 1, sol cancelled  1
itin 19: OG pax count 4, sol cancelled  4
itin 20: OG pax count 8, sol cancelled  8
itin 21: OG pax count 13, sol cancelled  13
itin 22: OG pax count 3, sol put 3 pax on flight 8998 in cabin B
itin 22: OG pax count 3, sol put 3 pax on flight 8680 in cabin B
itin 23: OG pax count 27, sol put 27 pax on flight 8998 in cabin E
itin 23: OG pax count 27, sol put 27 pax on flight 8680 in cabin E
itin 24: OG pax count 7, sol cancelled  7
itin 25: OG pax count 4, sol cancelled  4
itin 26: OG pax count 31, sol cancelled  31
itin 27: OG pax count 3, sol cancelled  3
itin 28: OG pax count 16, sol cancelled  16
itin 29: OG pax count 6, sol cancelled  6
itin 30: OG pax count 9, sol cancelled  9
itin 31: OG pax count 15, sol cancelled  15
itin 32: OG pax count 5, sol cancelled  5
itin 33: OG pax count 3, sol cancelled  3
itin 34: OG pax count 9, sol cancelled  9
itin 35: OG pax count 2, sol cancelled  2
itin 36: OG pax count 5, sol cancelled  5
itin 37: OG pax count 9, sol cancelled  9
itin 38: OG pax count 9, sol cancelled  9
itin 39: OG pax count 20, sol cancelled  20
itin 40: OG pax count 8, sol cancelled  8
itin 41: OG pax count 6, sol cancelled  6
itin 42: OG pax count 5, sol cancelled  5
itin 43: OG pax count 4, sol cancelled  4
itin 44: OG pax count 2, sol cancelled  2
itin 45: OG pax count 4, sol cancelled  4
itin 46: OG pax count 3, sol cancelled  3
itin 47: OG pax count 3, sol cancelled  3
itin 48: OG pax count 3, sol cancelled  3
itin 49: OG pax count 1, sol cancelled  1
itin 50: OG pax count 1, sol cancelled  1
itin 51: OG pax count 7, sol cancelled  7
itin 52: OG pax count 3, sol cancelled  3
itin 53: OG pax count 5, sol cancelled  5
itin 54: OG pax count 1, sol cancelled  1
itin 55: OG pax count 16, sol cancelled  16
itin 56: OG pax count 34, sol cancelled  34
itin 57: OG pax count 1, sol cancelled  1
itin 58: OG pax count 5, sol cancelled  5
itin 59: OG pax count 10, sol cancelled  10
itin 60: OG pax count 29, sol cancelled  29
itin 61: OG pax count 6, sol cancelled  6
itin 62: OG pax count 37, sol cancelled  37
itin 63: OG pax count 14, sol cancelled  14
itin 64: OG pax count 2, sol cancelled  2
itin 65: OG pax count 7, sol cancelled  7
itin 66: OG pax count 7, sol cancelled  7
itin 67: OG pax count 16, sol cancelled  16
itin 68: OG pax count 7, sol cancelled  7
itin 69: OG pax count 15, sol cancelled  15
itin 70: OG pax count 4, sol cancelled  4
itin 71: OG pax count 16, sol cancelled  16
itin 74: OG pax count 4, sol cancelled  4
itin 75: OG pax count 11, sol cancelled  11
itin 76: OG pax count 4, sol cancelled  4
itin 80: OG pax count 2, sol cancelled  2
itin 81: OG pax count 1, sol cancelled  1
itin 82: OG pax count 12, sol cancelled  12
itin 83: OG pax count 2, sol cancelled  2
itin 84: OG pax count 1, sol cancelled  1
itin 85: OG pax count 14, sol cancelled  14
itin 86: OG pax count 4, sol cancelled  4
itin 87: OG pax count 1, sol cancelled  1
itin 88: OG pax count 4, sol cancelled  4
itin 89: OG pax count 5, sol cancelled  5
itin 90: OG pax count 15, sol cancelled  15
itin 91: OG pax count 3, sol cancelled  3
itin 92: OG pax count 4, sol cancelled  4
itin 93: OG pax count 5, sol cancelled  5
itin 94: OG pax count 5, sol cancelled  5
itin 95: OG pax count 1, sol cancelled  1
itin 96: OG pax count 10, sol cancelled  10
itin 97: OG pax count 6, sol cancelled  6
itin 98: OG pax count 14, sol cancelled  14
itin 99: OG pax count 11, sol cancelled  11
itin 100: OG pax count 1, sol cancelled  1
itin 101: OG pax count 4, sol cancelled  4
itin 102: OG pax count 4, sol cancelled  4
itin 103: OG pax count 13, sol cancelled  13
itin 104: OG pax count 8, sol cancelled  8
itin 105: OG pax count 7, sol cancelled  7
itin 106: OG pax count 6, sol cancelled  6
itin 107: OG pax count 14, sol cancelled  14
itin 108: OG pax count 2, sol cancelled  2
itin 109: OG pax count 1, sol cancelled  1
itin 110: OG pax count 7, sol cancelled  7
itin 111: OG pax count 4, sol cancelled  4
itin 112: OG pax count 4, sol cancelled  4
itin 113: OG pax count 4, sol cancelled  4
itin 114: OG pax count 1, sol cancelled  1
itin 115: OG pax count 15, sol cancelled  15
itin 116: OG pax count 4, sol cancelled  4
itin 117: OG pax count 1, sol cancelled  1
itin 118: OG pax count 2, sol cancelled  2
itin 119: OG pax count 6, sol cancelled  6
itin 120: OG pax count 1, sol cancelled  1
itin 121: OG pax count 1, sol cancelled  1
itin 122: OG pax count 2, sol cancelled  2
itin 123: OG pax count 21, sol cancelled  21
itin 124: OG pax count 2, sol cancelled  2
itin 125: OG pax count 2, sol cancelled  2
itin 126: OG pax count 5, sol cancelled  5
itin 127: OG pax count 6, sol cancelled  6
itin 128: OG pax count 9, sol cancelled  9
itin 129: OG pax count 12, sol cancelled  12
itin 130: OG pax count 3, sol cancelled  3
itin 131: OG pax count 11, sol cancelled  11
itin 132: OG pax count 3, sol cancelled  3
itin 133: OG pax count 1, sol cancelled  1
itin 134: OG pax count 7, sol cancelled  7
itin 135: OG pax count 9, sol cancelled  9
itin 136: OG pax count 8, sol cancelled  8
itin 137: OG pax count 8, sol cancelled  8
itin 138: OG pax count 7, sol cancelled  7
itin 139: OG pax count 5, sol cancelled  5
itin 140: OG pax count 7, sol cancelled  7
itin 141: OG pax count 18, sol cancelled  18
itin 142: OG pax count 4, sol cancelled  4
itin 143: OG pax count 10, sol cancelled  10
itin 144: OG pax count 5, sol cancelled  5
itin 145: OG pax count 3, sol cancelled  3
itin 146: OG pax count 11, sol cancelled  11
itin 149: OG pax count 1, sol cancelled  1
itin 150: OG pax count 1, sol cancelled  1
itin 151: OG pax count 2, sol cancelled  2
itin 153: OG pax count 24, sol cancelled  24
itin 154: OG pax count 14, sol cancelled  14
itin 159: OG pax count 1, sol cancelled  1
itin 160: OG pax count 3, sol cancelled  3
itin 161: OG pax count 34, sol cancelled  34
itin 162: OG pax count 2, sol cancelled  2
itin 163: OG pax count 7, sol cancelled  7
itin 164: OG pax count 1, sol cancelled  1
itin 165: OG pax count 5, sol cancelled  5
itin 166: OG pax count 2, sol cancelled  2
itin 167: OG pax count 1, sol cancelled  1
itin 168: OG pax count 3, sol cancelled  3
itin 169: OG pax count 32, sol cancelled  32
itin 170: OG pax count 7, sol cancelled  7
itin 171: OG pax count 4, sol cancelled  4
itin 172: OG pax count 10, sol cancelled  10
itin 173: OG pax count 1, sol cancelled  1
itin 174: OG pax count 3, sol cancelled  3
itin 175: OG pax count 8, sol cancelled  8
itin 176: OG pax count 15, sol put 15 pax on flight 8998 in cabin E
itin 176: OG pax count 15, sol put 15 pax on flight 8464 in cabin E
itin 177: OG pax count 3, sol put 3 pax on flight 8998 in cabin B
itin 177: OG pax count 3, sol put 3 pax on flight 8464 in cabin F
itin 178: OG pax count 7, sol put 5 pax on flight 8998 in cabin F
itin 178: OG pax count 7, sol put 2 pax on flight 8998 in cabin E
itin 178: OG pax count 7, sol put 4 pax on flight 9122 in cabin F
itin 178: OG pax count 7, sol put 3 pax on flight 9122 in cabin E
itin 179: OG pax count 1, sol cancelled  1
itin 180: OG pax count 14, sol cancelled  14
itin 181: OG pax count 1, sol cancelled  1
itin 182: OG pax count 2, sol cancelled  2
itin 183: OG pax count 1, sol cancelled  1
itin 184: OG pax count 1, sol cancelled  1
itin 185: OG pax count 3, sol cancelled  3
itin 186: OG pax count 10, sol cancelled  10
itin 187: OG pax count 1, sol cancelled  1
itin 188: OG pax count 3, sol cancelled  3
itin 189: OG pax count 15, sol cancelled  15
itin 190: OG pax count 12, sol cancelled  12
itin 191: OG pax count 7, sol cancelled  7
itin 192: OG pax count 7, sol cancelled  7
itin 193: OG pax count 1, sol cancelled  1
itin 194: OG pax count 12, sol cancelled  12
itin 195: OG pax count 12, sol cancelled  12
itin 196: OG pax count 8, sol cancelled  8
itin 197: OG pax count 6, sol cancelled  6
itin 198: OG pax count 21, sol cancelled  21
itin 199: OG pax count 1, sol cancelled  1
itin 200: OG pax count 6, sol cancelled  6
itin 201: OG pax count 3, sol cancelled  3
itin 202: OG pax count 9, sol cancelled  9
itin 203: OG pax count 7, sol cancelled  7
itin 204: OG pax count 20, sol cancelled  20
itin 205: OG pax count 5, sol cancelled  5
itin 206: OG pax count 7, sol cancelled  7
itin 207: OG pax count 1, sol cancelled  1
itin 208: OG pax count 3, sol cancelled  3
itin 209: OG pax count 6, sol cancelled  6
itin 210: OG pax count 2, sol cancelled  2
itin 211: OG pax count 7, sol cancelled  7
itin 212: OG pax count 12, sol cancelled  12
itin 213: OG pax count 2, sol cancelled  2
itin 214: OG pax count 28, sol cancelled  28
itin 215: OG pax count 17, sol cancelled  17
itin 216: OG pax count 10, sol cancelled  10
itin 217: OG pax count 22, sol put 12 pax on flight 8996 in cabin B
itin 217: OG pax count 22, sol put 10 pax on flight 8998 in cabin E
itin 218: OG pax count 4, sol put 4 pax on flight 8996 in cabin B
itin 219: OG pax count 1, sol cancelled  1
itin 220: OG pax count 34, sol cancelled  34
itin 221: OG pax count 4, sol cancelled  4
itin 222: OG pax count 2, sol cancelled  2
itin 223: OG pax count 7, sol cancelled  7
itin 224: OG pax count 11, sol cancelled  11
itin 225: OG pax count 4, sol put 4 pax on flight 439 in cabin E
itin 225: OG pax count 4, sol put 4 pax on flight 5110 in cabin E
itin 226: OG pax count 2, sol cancelled  2
itin 227: OG pax count 5, sol cancelled  5
itin 228: OG pax count 4, sol cancelled  4
itin 229: OG pax count 4, sol cancelled  4
itin 230: OG pax count 23, sol cancelled  23
itin 231: OG pax count 1, sol cancelled  1
itin 232: OG pax count 4, sol cancelled  4
itin 233: OG pax count 8, sol cancelled  8
itin 234: OG pax count 6, sol cancelled  6
itin 235: OG pax count 2, sol cancelled  2
itin 236: OG pax count 10, sol cancelled  10
itin 237: OG pax count 20, sol cancelled  20
itin 238: OG pax count 10, sol cancelled  10
itin 239: OG pax count 4, sol cancelled  4
itin 240: OG pax count 4, sol cancelled  4
itin 241: OG pax count 5, sol cancelled  5
itin 242: OG pax count 2, sol put 2 pax on flight 437 in cabin B
itin 242: OG pax count 2, sol put 2 pax on flight 2346 in cabin B
itin 243: OG pax count 2, sol cancelled  2
itin 244: OG pax count 17, sol cancelled  17
itin 245: OG pax count 2, sol cancelled  2
itin 246: OG pax count 18, sol cancelled  18
itin 247: OG pax count 2, sol cancelled  2
itin 248: OG pax count 2, sol cancelled  2
itin 249: OG pax count 14, sol cancelled  14
itin 250: OG pax count 2, sol cancelled  2
itin 251: OG pax count 11, sol cancelled  11
itin 252: OG pax count 10, sol cancelled  10
itin 253: OG pax count 3, sol cancelled  3
itin 254: OG pax count 10, sol cancelled  10
itin 255: OG pax count 1, sol cancelled  1
itin 256: OG pax count 1, sol cancelled  1
itin 257: OG pax count 3, sol cancelled  3
itin 258: OG pax count 1, sol cancelled  1
itin 259: OG pax count 2, sol cancelled  2
itin 260: OG pax count 4, sol cancelled  4
itin 261: OG pax count 1, sol cancelled  1
itin 262: OG pax count 2, sol cancelled  2
itin 264: OG pax count 7, sol cancelled  7
itin 266: OG pax count 12, sol cancelled  12
itin 267: OG pax count 16, sol cancelled  16
itin 268: OG pax count 3, sol cancelled  3
itin 270: OG pax count 2, sol cancelled  2
itin 271: OG pax count 2, sol cancelled  2
itin 272: OG pax count 44, sol cancelled  44
itin 273: OG pax count 4, sol cancelled  4
itin 275: OG pax count 13, sol cancelled  13
itin 276: OG pax count 4, sol cancelled  4
itin 280: OG pax count 5, sol cancelled  5
itin 281: OG pax count 5, sol cancelled  5
itin 282: OG pax count 1, sol cancelled  1
itin 283: OG pax count 6, sol cancelled  6
itin 290: OG pax count 7, sol cancelled  7
itin 291: OG pax count 15, sol cancelled  15
itin 292: OG pax count 4, sol cancelled  4
itin 293: OG pax count 18, sol cancelled  18
itin 294: OG pax count 31, sol cancelled  31
itin 295: OG pax count 2, sol cancelled  2
itin 296: OG pax count 1, sol cancelled  1
itin 297: OG pax count 5, sol cancelled  5
itin 298: OG pax count 3, sol cancelled  3
itin 299: OG pax count 5, sol cancelled  5
itin 300: OG pax count 6, sol cancelled  6
itin 301: OG pax count 11, sol cancelled  11
itin 302: OG pax count 1, sol cancelled  1
itin 303: OG pax count 10, sol cancelled  10
itin 304: OG pax count 5, sol cancelled  5
itin 305: OG pax count 7, sol cancelled  7
itin 306: OG pax count 8, sol cancelled  8
itin 307: OG pax count 3, sol cancelled  3
itin 308: OG pax count 2, sol cancelled  2
itin 309: OG pax count 7, sol cancelled  7
itin 310: OG pax count 1, sol cancelled  1
itin 311: OG pax count 14, sol cancelled  14
itin 312: OG pax count 9, sol cancelled  9
itin 313: OG pax count 3, sol cancelled  3
itin 314: OG pax count 26, sol cancelled  26
itin 315: OG pax count 7, sol cancelled  7
itin 316: OG pax count 6, sol cancelled  6
itin 317: OG pax count 1, sol cancelled  1
itin 318: OG pax count 21, sol cancelled  21
itin 319: OG pax count 3, sol cancelled  3
itin 320: OG pax count 2, sol cancelled  2
itin 321: OG pax count 3, sol cancelled  3
itin 322: OG pax count 4, sol cancelled  4
itin 323: OG pax count 8, sol cancelled  8
itin 324: OG pax count 9, sol cancelled  9
itin 325: OG pax count 9, sol cancelled  9
itin 326: OG pax count 2, sol cancelled  2
itin 327: OG pax count 2, sol cancelled  2
itin 328: OG pax count 27, sol cancelled  27
itin 329: OG pax count 6, sol cancelled  6
itin 338: OG pax count 4, sol cancelled  4
itin 340: OG pax count 7, sol cancelled  7
itin 341: OG pax count 1, sol cancelled  1
itin 342: OG pax count 27, sol cancelled  27
itin 343: OG pax count 15, sol cancelled  15
itin 344: OG pax count 6, sol cancelled  6
itin 345: OG pax count 2, sol cancelled  2
itin 346: OG pax count 1, sol cancelled  1
itin 347: OG pax count 12, sol cancelled  12
itin 348: OG pax count 2, sol cancelled  2
itin 349: OG pax count 4, sol cancelled  4
itin 350: OG pax count 28, sol cancelled  28
itin 351: OG pax count 4, sol cancelled  4
itin 352: OG pax count 23, sol cancelled  23
itin 353: OG pax count 17, sol cancelled  17
itin 354: OG pax count 11, sol cancelled  11
itin 355: OG pax count 21, sol cancelled  21
itin 356: OG pax count 1, sol cancelled  1
itin 357: OG pax count 7, sol cancelled  7
itin 358: OG pax count 8, sol cancelled  8
itin 359: OG pax count 8, sol cancelled  8
itin 360: OG pax count 1, sol cancelled  1
itin 361: OG pax count 4, sol cancelled  4
itin 362: OG pax count 1, sol cancelled  1
itin 363: OG pax count 6, sol cancelled  6
itin 364: OG pax count 11, sol cancelled  11
itin 365: OG pax count 4, sol cancelled  4
itin 366: OG pax count 7, sol cancelled  7
itin 367: OG pax count 6, sol cancelled  6
itin 368: OG pax count 5, sol cancelled  5
itin 369: OG pax count 4, sol cancelled  4
itin 370: OG pax count 5, sol cancelled  5
itin 371: OG pax count 2, sol cancelled  2
itin 372: OG pax count 2, sol cancelled  2
itin 373: OG pax count 1, sol cancelled  1
itin 374: OG pax count 7, sol cancelled  7
itin 375: OG pax count 3, sol cancelled  3
itin 376: OG pax count 1, sol cancelled  1
itin 377: OG pax count 4, sol cancelled  4
itin 378: OG pax count 4, sol cancelled  4
itin 379: OG pax count 6, sol cancelled  6
itin 380: OG pax count 9, sol cancelled  9
itin 381: OG pax count 3, sol cancelled  3
itin 382: OG pax count 13, sol cancelled  13
itin 383: OG pax count 4, sol cancelled  4
itin 384: OG pax count 11, sol cancelled  11
itin 385: OG pax count 11, sol cancelled  11
itin 386: OG pax count 13, sol cancelled  13
itin 387: OG pax count 5, sol cancelled  5
