Total itineraries 1659
Disrupted itineraries 1433
Total #flights 608
Total #airports 35
Preprocessing time 6.136318
MIP runtime 0.062109
MIP objective 10941443.250000
MIP number of zero variables 15064.000000 out of 16758
itin 2: OG pax count 3, sol cancelled  3
itin 4: OG pax count 2, sol cancelled  2
itin 8: OG pax count 10, sol cancelled  10
itin 9: OG pax count 6, sol cancelled  6
itin 13: OG pax count 1, sol cancelled  1
itin 14: OG pax count 2, sol cancelled  2
itin 16: OG pax count 1, sol cancelled  1
itin 17: OG pax count 2, sol cancelled  2
itin 18: OG pax count 8, sol cancelled  8
itin 19: OG pax count 6, sol cancelled  6
itin 20: OG pax count 13, sol cancelled  13
itin 21: OG pax count 3, sol cancelled  3
itin 22: OG pax count 19, sol cancelled  19
itin 23: OG pax count 2, sol cancelled  2
itin 24: OG pax count 13, sol cancelled  13
itin 25: OG pax count 5, sol cancelled  5
itin 26: OG pax count 26, sol cancelled  26
itin 27: OG pax count 4, sol cancelled  4
itin 29: OG pax count 4, sol cancelled  4
itin 31: OG pax count 2, sol cancelled  2
itin 32: OG pax count 13, sol cancelled  13
itin 33: OG pax count 7, sol cancelled  7
itin 35: OG pax count 3, sol cancelled  3
itin 37: OG pax count 2, sol cancelled  2
itin 38: OG pax count 14, sol cancelled  14
itin 39: OG pax count 8, sol cancelled  8
itin 40: OG pax count 73, sol cancelled  73
itin 41: OG pax count 12, sol cancelled  12
itin 42: OG pax count 14, sol put 14 pax on flight 4228 in cabin E
itin 43: OG pax count 5, sol cancelled  5
itin 47: OG pax count 34, sol cancelled  34
itin 48: OG pax count 12, sol cancelled  12
itin 49: OG pax count 16, sol put 16 pax on flight 4225 in cabin E
itin 50: OG pax count 6, sol put 6 pax on flight 2869 in cabin E
itin 51: OG pax count 25, sol cancelled  25
itin 52: OG pax count 20, sol cancelled  20
itin 53: OG pax count 43, sol put 43 pax on flight 4228 in cabin E
itin 54: OG pax count 6, sol cancelled  6
itin 56: OG pax count 30, sol put 30 pax on flight 4237 in cabin E
itin 57: OG pax count 22, sol put 22 pax on flight 4237 in cabin E
itin 58: OG pax count 34, sol cancelled  34
itin 59: OG pax count 12, sol cancelled  12
itin 60: OG pax count 16, sol put 16 pax on flight 4228 in cabin E
itin 61: OG pax count 6, sol put 6 pax on flight 4228 in cabin E
itin 61: OG pax count 6, sol put 6 pax on flight 4459 in cabin E
itin 64: OG pax count 66, sol cancelled  9
itin 64 partially cancelled
itin 64: OG pax count 66, sol put 57 pax on flight 1364 in cabin E
itin 65: OG pax count 12, sol cancelled  12
itin 66: OG pax count 19, sol put 19 pax on flight 1364 in cabin E
itin 67: OG pax count 7, sol cancelled  7
itin 73: OG pax count 52, sol cancelled  52
itin 74: OG pax count 12, sol cancelled  12
itin 75: OG pax count 59, sol cancelled  7
itin 75 partially cancelled
itin 75: OG pax count 59, sol put 52 pax on flight 4435 in cabin E
itin 76: OG pax count 6, sol cancelled  6
itin 77: OG pax count 40, sol cancelled  40
itin 78: OG pax count 26, sol put 26 pax on flight 4431 in cabin E
itin 79: OG pax count 6, sol put 6 pax on flight 4596 in cabin E
itin 80: OG pax count 2, sol cancelled  2
itin 81: OG pax count 10, sol cancelled  10
itin 82: OG pax count 4, sol cancelled  4
itin 83: OG pax count 3, sol put 3 pax on flight 4596 in cabin E
itin 84: OG pax count 1, sol cancelled  1
itin 85: OG pax count 5, sol put 5 pax on flight 4228 in cabin E
itin 85: OG pax count 5, sol put 5 pax on flight 144 in cabin E
itin 86: OG pax count 2, sol cancelled  2
itin 97: OG pax count 6, sol cancelled  6
itin 98: OG pax count 2, sol put 2 pax on flight 4507 in cabin E
itin 99: OG pax count 10, sol cancelled  10
itin 100: OG pax count 4, sol cancelled  4
itin 101: OG pax count 3, sol cancelled  3
itin 102: OG pax count 1, sol put 1 pax on flight 4511 in cabin E
itin 103: OG pax count 5, sol cancelled  5
itin 104: OG pax count 2, sol put 2 pax on flight 4507 in cabin E
itin 105: OG pax count 5, sol put 2 pax on flight 4228 in cabin E
itin 105: OG pax count 5, sol put 3 pax on flight 4596 in cabin E
itin 105: OG pax count 5, sol put 2 pax on flight 144 in cabin F
itin 106: OG pax count 2, sol cancelled  2
itin 107: OG pax count 10, sol cancelled  10
itin 108: OG pax count 4, sol cancelled  4
itin 109: OG pax count 2, sol put 2 pax on flight 4596 in cabin E
itin 110: OG pax count 1, sol cancelled  1
itin 111: OG pax count 4, sol put 4 pax on flight 4596 in cabin E
itin 112: OG pax count 2, sol cancelled  2
itin 113: OG pax count 5, sol cancelled  5
itin 114: OG pax count 9, sol cancelled  9
itin 115: OG pax count 3, sol cancelled  3
itin 116: OG pax count 5, sol cancelled  5
itin 117: OG pax count 5, sol put 5 pax on flight 4596 in cabin B
itin 118: OG pax count 3, sol cancelled  3
itin 119: OG pax count 13, sol cancelled  1
itin 119 partially cancelled
itin 119: OG pax count 13, sol put 12 pax on flight 4596 in cabin E
itin 120: OG pax count 5, sol cancelled  5
itin 121: OG pax count 3, sol put 3 pax on flight 4596 in cabin B
itin 122: OG pax count 1, sol cancelled  1
itin 123: OG pax count 13, sol put 13 pax on flight 4596 in cabin E
itin 124: OG pax count 3, sol cancelled  3
itin 125: OG pax count 5, sol cancelled  5
itin 126: OG pax count 13, sol cancelled  13
itin 127: OG pax count 3, sol cancelled  3
itin 128: OG pax count 7, sol cancelled  7
itin 129: OG pax count 59, sol cancelled  59
itin 130: OG pax count 6, sol cancelled  6
itin 131: OG pax count 31, sol cancelled  31
itin 132: OG pax count 6, sol cancelled  6
itin 136: OG pax count 44, sol put 44 pax on flight 1375 in cabin E
itin 137: OG pax count 23, sol put 23 pax on flight 1375 in cabin E
itin 140: OG pax count 71, sol cancelled  71
itin 141: OG pax count 10, sol cancelled  10
itin 142: OG pax count 25, sol cancelled  25
itin 143: OG pax count 9, sol cancelled  9
itin 146: OG pax count 28, sol cancelled  28
itin 147: OG pax count 5, sol cancelled  5
itin 148: OG pax count 15, sol cancelled  15
itin 149: OG pax count 3, sol cancelled  3
itin 150: OG pax count 37, sol put 37 pax on flight 4459 in cabin E
itin 151: OG pax count 19, sol put 19 pax on flight 4459 in cabin E
itin 152: OG pax count 19, sol cancelled  19
itin 153: OG pax count 3, sol cancelled  3
itin 154: OG pax count 5, sol cancelled  5
itin 155: OG pax count 1, sol cancelled  1
itin 156: OG pax count 7, sol put 7 pax on flight 2654 in cabin E
itin 157: OG pax count 2, sol put 2 pax on flight 4508 in cabin E
itin 157: OG pax count 2, sol put 2 pax on flight 6 in cabin E
itin 158: OG pax count 5, sol put 5 pax on flight 2654 in cabin E
itin 159: OG pax count 2, sol put 2 pax on flight 4510 in cabin E
