Total itineraries 11565
Disrupted itineraries 10131
Total #flights 1422
Total #airports 44
Preprocessing time 56.441123
MIP runtime 0.318155
MIP objective 244098049.150000
MIP number of zero variables 73581.000000 out of 84380
itin 0: OG pax count 2, sol cancelled  2
itin 1: OG pax count 18, sol cancelled  18
itin 2: OG pax count 36, sol cancelled  36
itin 3: OG pax count 2, sol cancelled  2
itin 4: OG pax count 12, sol cancelled  12
itin 5: OG pax count 1, sol cancelled  1
itin 6: OG pax count 1, sol cancelled  1
itin 7: OG pax count 19, sol cancelled  19
itin 8: OG pax count 9, sol cancelled  9
itin 9: OG pax count 13, sol cancelled  13
itin 10: OG pax count 12, sol cancelled  12
itin 11: OG pax count 13, sol cancelled  13
itin 12: OG pax count 8, sol cancelled  8
itin 13: OG pax count 4, sol cancelled  4
itin 14: OG pax count 9, sol cancelled  9
itin 15: OG pax count 1, sol cancelled  1
itin 16: OG pax count 20, sol cancelled  20
itin 17: OG pax count 10, sol put 10 pax on flight 7200 in cabin E
itin 18: OG pax count 8, sol put 8 pax on flight 28 in cabin B
itin 18: OG pax count 8, sol put 8 pax on flight 6992 in cabin E
itin 19: OG pax count 9, sol cancelled  9
itin 20: OG pax count 7, sol cancelled  7
itin 21: OG pax count 3, sol cancelled  3
itin 22: OG pax count 13, sol cancelled  13
itin 23: OG pax count 12, sol cancelled  12
itin 24: OG pax count 15, sol cancelled  15
itin 25: OG pax count 19, sol cancelled  19
itin 26: OG pax count 3, sol cancelled  3
itin 27: OG pax count 22, sol cancelled  22
itin 28: OG pax count 10, sol cancelled  10
itin 29: OG pax count 10, sol cancelled  10
itin 30: OG pax count 22, sol put 22 pax on flight 28 in cabin B
itin 30: OG pax count 22, sol put 22 pax on flight 5782 in cabin E
itin 31: OG pax count 2, sol put 2 pax on flight 30 in cabin E
itin 31: OG pax count 2, sol put 2 pax on flight 5606 in cabin E
itin 32: OG pax count 10, sol cancelled  10
itin 33: OG pax count 7, sol put 7 pax on flight 7250 in cabin E
itin 34: OG pax count 18, sol cancelled  18
itin 35: OG pax count 3, sol cancelled  3
itin 36: OG pax count 15, sol cancelled  15
itin 37: OG pax count 2, sol cancelled  2
itin 38: OG pax count 9, sol put 9 pax on flight 7200 in cabin E
itin 39: OG pax count 1, sol cancelled  1
itin 40: OG pax count 4, sol cancelled  4
itin 41: OG pax count 26, sol cancelled  26
itin 42: OG pax count 2, sol cancelled  2
itin 43: OG pax count 15, sol cancelled  15
itin 44: OG pax count 7, sol put 7 pax on flight 7300 in cabin E
itin 45: OG pax count 4, sol put 4 pax on flight 7300 in cabin E
itin 46: OG pax count 9, sol cancelled  9
itin 47: OG pax count 4, sol put 4 pax on flight 35 in cabin B
itin 47: OG pax count 4, sol put 4 pax on flight 6980 in cabin E
itin 48: OG pax count 14, sol cancelled  14
itin 49: OG pax count 1, sol cancelled  1
itin 50: OG pax count 20, sol cancelled  20
itin 51: OG pax count 17, sol cancelled  17
itin 52: OG pax count 2, sol cancelled  2
itin 53: OG pax count 6, sol cancelled  6
itin 54: OG pax count 10, sol cancelled  10
itin 55: OG pax count 1, sol cancelled  1
itin 56: OG pax count 10, sol cancelled  10
itin 57: OG pax count 2, sol cancelled  2
itin 58: OG pax count 5, sol cancelled  5
itin 59: OG pax count 4, sol cancelled  4
itin 60: OG pax count 25, sol cancelled  25
itin 61: OG pax count 11, sol cancelled  11
itin 62: OG pax count 1, sol cancelled  1
itin 63: OG pax count 7, sol cancelled  7
itin 64: OG pax count 8, sol cancelled  8
itin 65: OG pax count 11, sol cancelled  11
itin 66: OG pax count 13, sol put 13 pax on flight 2419 in cabin B
itin 66: OG pax count 13, sol put 13 pax on flight 1264 in cabin E
itin 67: OG pax count 2, sol cancelled  2
itin 68: OG pax count 1, sol cancelled  1
itin 69: OG pax count 3, sol cancelled  3
itin 70: OG pax count 20, sol cancelled  20
itin 71: OG pax count 4, sol put 4 pax on flight 63 in cabin F
itin 71: OG pax count 4, sol put 4 pax on flight 6980 in cabin E
itin 72: OG pax count 4, sol cancelled  4
itin 73: OG pax count 9, sol cancelled  9
itin 74: OG pax count 4, sol cancelled  4
itin 75: OG pax count 15, sol cancelled  15
itin 76: OG pax count 5, sol cancelled  5
itin 77: OG pax count 4, sol cancelled  4
itin 78: OG pax count 16, sol cancelled  16
itin 79: OG pax count 1, sol cancelled  1
itin 80: OG pax count 5, sol cancelled  5
itin 81: OG pax count 9, sol cancelled  9
itin 82: OG pax count 17, sol cancelled  17
itin 83: OG pax count 2, sol cancelled  2
itin 84: OG pax count 9, sol cancelled  9
itin 85: OG pax count 1, sol put 1 pax on flight 1529 in cabin B
itin 85: OG pax count 1, sol put 1 pax on flight 1264 in cabin E
itin 86: OG pax count 15, sol cancelled  15
itin 87: OG pax count 13, sol cancelled  13
itin 88: OG pax count 21, sol cancelled  21
itin 89: OG pax count 31, sol cancelled  31
itin 90: OG pax count 5, sol cancelled  5
itin 91: OG pax count 22, sol put 22 pax on flight 45 in cabin E
itin 91: OG pax count 22, sol put 22 pax on flight 5732 in cabin E
itin 92: OG pax count 2, sol put 2 pax on flight 40 in cabin F
itin 92: OG pax count 2, sol put 2 pax on flight 5690 in cabin B
itin 93: OG pax count 8, sol cancelled  8
itin 95: OG pax count 30, sol cancelled  30
itin 96: OG pax count 18, sol cancelled  18
itin 97: OG pax count 5, sol cancelled  5
itin 98: OG pax count 10, sol cancelled  10
itin 99: OG pax count 6, sol cancelled  6
itin 100: OG pax count 9, sol cancelled  9
itin 101: OG pax count 4, sol cancelled  4
itin 102: OG pax count 4, sol cancelled  4
itin 103: OG pax count 5, sol cancelled  5
itin 104: OG pax count 7, sol cancelled  7
itin 105: OG pax count 24, sol cancelled  24
itin 106: OG pax count 4, sol cancelled  4
itin 107: OG pax count 1, sol cancelled  1
itin 108: OG pax count 16, sol cancelled  16
itin 109: OG pax count 6, sol cancelled  6
itin 110: OG pax count 10, sol cancelled  10
itin 111: OG pax count 1, sol cancelled  1
itin 112: OG pax count 1, sol cancelled  1
itin 113: OG pax count 34, sol cancelled  34
itin 114: OG pax count 10, sol cancelled  10
itin 115: OG pax count 2, sol cancelled  2
itin 116: OG pax count 9, sol cancelled  9
itin 117: OG pax count 3, sol cancelled  3
itin 118: OG pax count 2, sol cancelled  2
itin 119: OG pax count 11, sol cancelled  11
itin 120: OG pax count 1, sol put 1 pax on flight 13 in cabin B
itin 120: OG pax count 1, sol put 1 pax on flight 6980 in cabin B
itin 121: OG pax count 7, sol put 7 pax on flight 7230 in cabin E
itin 122: OG pax count 23, sol cancelled  23
itin 123: OG pax count 11, sol cancelled  11
itin 124: OG pax count 6, sol cancelled  6
itin 125: OG pax count 13, sol cancelled  13
itin 126: OG pax count 28, sol cancelled  28
itin 127: OG pax count 4, sol cancelled  4
itin 128: OG pax count 1, sol cancelled  1
itin 129: OG pax count 1, sol cancelled  1
