1264 CDG TUN 11:12+1 13:42+1 0.0
81 ORY CDG 02:40 03:10 0.0
9461 FCO NCE 10:17 11:32 0.0
129 ORY CDG 20:52 21:22 0.0
7371 TLS CDG 21:39 23:09 0.0
5366 RNS SXB 18:59 20:19 0.0
1277 CMN CDG 15:29 18:34 0.0
1928 CDG BCN 08:43+1 10:28+1 0.0
23 CDG ORY 21:26 21:56 0.0
1684 CDG FCO 17:33 19:38 0.0
6980 ORY LYS 12:18 13:23 0.0
6989 LYS ORY 03:14+1 04:19+1 0.0
9455 MXP NCE 06:02+1 07:12+1 0.0
720 CDG AMS 11:35 12:55 0.0
9549 PMO MXP 14:20 16:05 0.0
1799 FRA CDG 05:54+1 07:14+1 0.0
5816 ORY NCE 22:39 23:59 0.0
4986 LYS CFE 21:02 21:42 0.0
45 CDG ORY 18:55 19:25 0.0
5303 CDG RNS 23:25 00:20+1 0.0
5461 FRA LYS 05:30 06:50 0.0
5606 ORY MRS 14:32 15:47 0.0
7300 CDG NTE 14:31 15:36 0.0
1150 CDG LHR 13:37 14:52 0.0
118 ORY CDG 15:00 15:30 0.0
5237 NTE TLS 08:48 09:48 0.0
1198 CDG FRA 12:19 13:44 0.0
5789 NCE ORY 09:35 11:00 0.0
5484 PRG LYS 22:38 00:18+1 0.0
7356 CDG PUF 07:30 09:00 0.0
2867 MLH CDG 08:19+1 09:34+1 0.0
9502 MXP CTA 20:32 22:27 0.0
43 CDG ORY 00:55+1 01:25+1 0.0
5802 ORY NCE 19:19 20:39 0.0
7040 ORY PUF 13:35 14:50 0.0
962 CDG PRG 12:13 13:58 0.0
7396 LIL LYS 19:12 20:27 0.0
128 ORY CDG 09:08+1 09:38+1 0.0
7821 AMS CDG 17:45 19:00 0.0
7368 CDG TLS 20:00 21:25 0.0
2219 VIE CDG 06:15 08:30 0.0
1380 CDG MAD 22:42 00:47+1 0.0
5173 MRS TLS 09:35 10:30 0.0
7012 ORY CFE 17:06 18:01 0.0
5 CDG ORY 14:22 14:52 0.0
4351 AJA LYS 09:35 11:10 0.0
2823 MXP TLS 13:30 14:55 0.0
4974 SXB CFE 19:28 20:48 0.0
2810 BOD MAD 07:20 08:35 0.0
5788 ORY NCE 17:17 18:37 0.0
7065 BIQ ORY 16:57 18:17 0.0
1629 BCN CDG 21:49 23:44 0.0
5720 ORY TLS 03:22+1 04:32+1 0.0
2711 LIL BOD 05:30 06:50 0.0
4678 FCO MRS 11:35 13:20 0.0
97 ORY CDG 21:19 21:49 0.0
5342 MRS NTE 03:46+1 05:11+1 0.0
5846 ORY BOD 16:10 17:15 0.0
5009 PUF LYS 22:35 23:45 0.0
5233 NTE TLS 02:43+1 03:43+1 0.0
9490 FCO CTA 22:01 23:16 0.0
9538 FCO PMO 01:43+1 02:53+1 0.0
4583 DUB CDG 06:40 08:30 0.0
2708 TLS GVA 09:40 10:45 0.0
1481 MAD CDG 18:31 20:36 0.0
5034 BOD MRS 04:45+1 05:50+1 0.0
2839 CFE TLS 17:30 18:25 0.0
2855 MPL NTE 18:33 19:53 0.0
7234 CDG CFE 13:30 14:30 0.0
5019 BIQ LYS 22:41 23:56 0.0
623 GVA CDG 01:11+1 02:21+1 0.0
5031 MRS BOD 20:19 21:29 0.0
1328 CDG BCN 02:41+1 04:26+1 0.0
4607 LCY ORY 07:38+1 08:53+1 0.0
1794 CDG MXP 17:25 19:00 0.0
7200 CDG BOD 06:33 07:53 0.0
999 FRA CDG 19:34 20:54 0.0
851 LHR CDG 10:15 11:25 0.0
822 CDG GVA 03:18+1 04:28+1 0.0
7810 CDG AMS 20:32 21:57 0.0
1880 CDG MAD 23:07 01:12+1 0.0
1529 BCN CDG 03:59+1 05:54+1 0.0
7251 MRS CDG 04:07+1 05:37+1 0.0
7129 MPL ORY 16:59 18:19 0.0
4600 ORY LCY 14:41 15:46 0.0
5853 BOD ORY 05:52+1 07:02+1 0.0
